generation,highest_score,average_score,lowest_score,total_wins,total_losses,total_draws,highest_defection_rate,average_defection_rate,lowest_defection_rate
223,8756,8522.34,0,8599,8599,2602,0.5217743696362117,0.5216370352965746,0.5215109269385585
224,8766,8520.65,0,8596,8596,2608,0.5218099119853505,0.5216485793608602,0.5215145608128064
225,8722,8521.45,0,8603,8603,2594,0.5217757453435143,0.5216564221629426,0.5215193387061109
226,8780,8519.1,0,8593,8593,2614,0.5217594446669337,0.5216528020759411,0.521506509565865
227,8741,8502.63,0,8597,8597,2606,0.5217456186985273,0.5216552878741241,0.5215217735993359
228,8808,8514.25,0,8620,8620,2560,0.521792273458557,0.5216830567221283,0.5215241358656666
229,8753,8523.61,0,8594,8594,2612,0.5218050065876153,0.5217019161870422,0.5215010517070013
230,8793,8523.3,0,8607,8607,2586,0.5218095744411534,0.5217260322523481,0.521617404392524
231,8808,8516.91,0,8658,8658,2484,0.5218301435406698,0.5217252149443619,0.5216204696694715
232,8830,8514.5,0,8631,8631,2538,0.5218653670200993,0.5217753774473901,0.5216645789268333
233,8929,8506.25,0,8612,8612,2576,0.5219184649009211,0.5218052545245527,0.5216878637931269
234,8812,8519.95,0,8648,8648,2504,0.5219360457882294,0.5218281810263893,0.5217222618118474
235,8866,8519.9,0,8603,8603,2594,0.5219275718829689,0.52184574333883,0.5217451049297614
236,8816,8505.57,0,8634,8634,2532,0.521992072624984,0.5218646379405869,0.5217228918095007
237,8843,8513.86,0,8586,8586,2628,0.5220448626021381,0.5219079561649219,0.5217957996595768
238,8805,8508.1,0,8616,8616,2568,0.5221005474253657,0.5219223283262044,0.5217657749038502
239,8827,8520.05,0,8608,8608,2584,0.5221291866028708,0.5219208421938685,0.5217681197944356
240,8958,8498.89,0,8609,8609,2582,0.5221708237650583,0.5219269347769021,0.5217472828304888
241,8749,8501.11,0,8595,8595,2610,0.5221824596552739,0.5219231352234834,0.52177055461092
242,8831,8511.56,0,8677,8677,2446,0.522113051677704,0.5219292010422614,0.5217422218721763
243,8842,8511.6,0,8580,8580,2640,0.5221161136821189,0.5219430064231617,0.521711942548871
244,8770,8522.82,0,8635,8635,2530,0.5220790070414131,0.521945382937864,0.5217437533227007
245,8758,8504.86,0,8637,8637,2526,0.5220476048460644,0.5218963922494089,0.5217137139473468
246,8812,8511.29,0,8617,8617,2566,0.5220670373024944,0.5219146612082901,0.5217850785717821
247,8736,8504.06,0,8619,8619,2562,0.5220991751127575,0.5219468132084855,0.5217765515940389
248,8828,8511.52,0,8558,8558,2684,0.522121446978771,0.5219803082612213,0.5217744983122282
